"","x"
"873",0.00502155377481091
"874",0.0499204808075166
"875",0.00164381645537748
"876",0.00808211702652932
"877",0.00141831362183914
"878",0.000132562509909924
"879",0.000378624060862977
"880",0.00736003068870241
"881",0
"882",0.0430057273730685
"883",0.611621088934055
"884",0.00118854878650704
"885",0.40164916976023
"886",0.000241701369927524
"887",0
"888",0.000117467623157939
"889",0.000347451798032922
"890",2.09288157272598e-05
"891",0
"892",0.0190754070689189
"893",0.000328461520199083
"894",0.000338483493656778
"895",3.2622969868898e-05
"896",0.000324363460299167
"897",0
"898",0
"899",7.00560843542297e-05
"900",0.0030331154520819
"901",0
"902",0.000388750442361922
"903",0
"904",0.00124398188176846
"905",0
"906",0.000241083282076426
"907",3.76292506217858e-05
"908",2.82496908524639e-05
"909",0
"910",0
"911",0.997184280878194
"912",0.0846902112609361
"913",0.00624623166652722
"914",0.0213168246570606
"915",6.49595215843532e-05
"916",0.000156980444626494
"917",1.19052777560599e-05
"918",0
"919",0.00138011050792872
"920",0.0814491891020244
"921",4.14257730136239e-05
"922",4.19372933528953e-05
"923",1.12641025990226e-05
"924",0.000233404063800466
"925",0.919744118969431
"926",0.999991044114377
"927",1.71464036390687e-05
"928",0
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",0
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",0
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",3.54995094678541e-05
"953",0
"954",0
"955",0
"956",0.00828869163467852
"957",0.000618612133409543
"958",0.00574835033408547
"959",0.000151640795693706
"960",0
"961",0.948669439113119
"962",0.00564173528766829
"963",0.0998843215318485
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0.00228153267111104
"971",0.000124336507371666
"972",0
"973",0
"974",0
"975",0
"976",0.0577475167714317
"977",0.00252655593317774
"978",0
"979",1.03991868489899e-05
"980",0
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",0
"1012",0.000383889641969796
"1013",0.0721686845578962
"1014",0
"1015",1.82648600178285e-05
"1016",0.0398886417927868
"1017",0.0611492153148593
"1018",0.000359334207299824
"1019",9.67448370681055e-05
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0.0975656179139881
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",1.32911139025247e-05
"1042",0.000489757195501654
"1043",2.85155683835559e-05
"1044",0.00576270038940859
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",6.29368114005813e-05
"1052",6.62335212639148e-05
"1053",0.0802869444689501
"1054",0.000452248059291182
"1055",0.15919332139181
"1056",0.000448013792302661
"1057",0.00509578374437573
"1058",0
"1059",0.00164903565249983
"1060",0
"1061",0.000180222953460583
"1062",0.0484709312637544
"1063",0
"1064",0.117549895460736
"1065",0.00805404641024589
"1066",2.57491429994484e-05
"1067",2.10470465162056e-05
"1068",0.445858451588066
"1069",0
"1070",0.012175323599219
"1071",0.54862620178846
"1072",0.0106511894843588
"1073",0.015405319853166
"1074",0
"1075",0
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",0.0021394121000118
"1089",0.0120526612336251
"1090",0.0215702527550548
"1091",0.0316428775457165
"1092",0.0327214989059946
"1093",0.000210291337137823
"1094",0.0132714018753251
"1095",0.425877366330495
"1096",0.0591657142695293
"1097",0.0329843819878604
